,zh,zhcn,ja,en
GodName,畫中仙,画中仙,畫中仙,畫中仙
,,,,
Accuracy,正確率,正确率,正確率,正確率
PassTime,過關時間,过关时间,過關時間,過關時間
Difficulty,困難度,困难度,困難度,困難度
LV0,初級,初级,初級,【Rookie】
LV1,中級,中级,中級,【Normal】
LV2,高級,高级,高級,【Hard】
LV3,專家,专家,專家,【Expert】
EndTime,答題時間,答题时间,答題時間,答題時間
YourStage,您選擇挑戰的關卡是,您选择挑战的关卡是,您選擇挑戰的關卡是,您選擇挑戰的關卡是
,,,,
Lan_GameStart,遊戲開始。,游戏开始。,遊戲開始。,遊戲開始。
Lan_Exam,小測驗,小测验,小測驗,小測驗
Lan_Shelf,多寶格,多宝格,多寶格,多寶格
Lan_Settings,設定,设定,設定,設定
Lan_Loading,典藏文物讀取中,典藏文物读取中,典藏文物讀取中,典藏文物讀取中
Lan_Right,很好！相當正確！,很好！相当正确！,很好！相當正確！,很好！相當正確！
Lan_Wrong,不是這裡，再試一次。,不是这裡，再试一次。,不是這裡，再試一次。,不是這裡，再試一次。
Lan_Readme,不是這裡。左上方的卷軸裡藏有提示喔！,不是这裡。左上方的卷轴裡藏有提示喔！,不是這裡。左上方的卷軸裡藏有提示喔！,不是這裡。左上方的卷軸裡藏有提示喔！
Lan_BeforeLose,不是這裡。請小心把握最後1次機會。,不是这裡。请細心把握最后1次机会。,不是這裡。請細心把握最後1次機會。,不是這裡。請小心把握最後1次機會。
Lan_Lose,不是這裡。老夫的法力已用盡，請下次再來挑戰！,不是这裡。老夫的法力已用尽，请下次再来挑战！,不是這裡。老夫的法力已用盡，請下次再來挑戰！,不是這裡。老夫的法力已用盡，請下次再來挑戰！
Lan_Answer,正確答案,正确答案,正確答案,正確答案
Lan_ExamFinished,測驗完成,测验完成,測驗完成,測驗完成
Lan_ArtExam,藝術常識測驗,艺术常识测验,藝術常識測驗,藝術常識測驗
Lan_EXP,經驗值,经验值,經驗值,經驗值
Lan_KP,知識點,知识点,知識點,知識點
Lan_Check,結算,结算,結算,結算
Lan_MsgLeave,離開此頁面後，已消耗的知識點將不會返還，確定要離開此頁面嗎？,离开此页面后，已消耗的知识点将不会返还，确定要离开此页面吗？,離開此頁面後，已消耗的知識點將不會返還，確定要離開此頁面嗎？,離開此頁面後，已消耗的知識點將不會返還，確定要離開此頁面嗎？
Lan_ExamStart,測驗開始,测验开始,測驗開始,測驗開始
Lan_Cancel,取消,取消,取消,取消
Lan_Confirm,確定,确定,確定,確定
,,,,
ShareMsgA0,我在,我在,我在,I've passed the task of Painting God in 
ShareMsgA1,秒內通過了《畫中仙》的,秒内通过了《画中仙》的,秒內通過了《畫中仙》的,sec
ShareMsgA2,試煉，藝術涵養與氣質明顯提升了！,试炼，艺术涵养与气质明显提升了！,試煉，藝術涵養與氣質明顯提升了！,", my sense of art has been improved!"
,,,,
ShareMsgB0,我以,我以,我以,I've passed the exam of Painting God with
ShareMsgB1,的正確率通過了《畫中仙》的藝術教育測驗，美感與鑑賞能力明顯提升了！,的正确率通过了《画中仙》的艺术教育测验，美感与鑑赏能力明显提升了！,的正確率通過了《畫中仙》的藝術教育測驗，美感與鑑賞能力明顯提升了！,"accuracy, My ability to appreciate art has been leveled up!"
,,,,
Sec,秒,秒,秒,Sec
ShareDescriptionKP,分享獲得知識點+5,分享获得知识点+5,分享獲得知識點+5,分享獲得知識點+5
ShareDescriptionEXP,分享獲得經驗值+100,分享获得经验值+100,分享獲得經驗值+100,分享獲得經驗值+100
QuizCompleteRate,題庫完成,题库完成,題庫完成,題庫完成
QuizRightNum,答對題數,答对题数,答對題數,答對題數
HintMessage00,【請仔細記憶畫作內容，再開始遊戲】,【请仔细记忆画作内容，再开始游戏】,【請仔細記憶畫作內容，再開始遊戲】,【請仔細記憶畫作內容，再開始遊戲】
GoToArtbook,點擊此處前往畫冊,点击此处前往画册,點擊此處前往畫冊,點擊此處前往畫冊
,,,,
//繪畫標題與描述,,,,
PicTitle0,聚瑞圖,聚瑞图,聚瑞圖,聚瑞圖
PicDescription0,畫中描繪一只青瓷弦紋瓶，瓶中插著並蒂蓮花、蓮蓬與稻穗等象徵吉祥的植物。此畫幾乎不見任何勾勒，色彩的敷設也極具光影效果，與西洋寫生觀念較多符合。,画中描绘一只青瓷弦纹瓶，瓶中插着并蒂莲花、莲蓬与稻穗等象征吉祥​​的植物。此画几乎不见任何勾勒，色彩的敷设也极具光影效果，与西洋写生观念较多符合。,畫中描繪一只青瓷弦紋瓶，瓶中插著並蒂蓮花、蓮蓬與稻穗等象徵吉祥的植物。此畫幾乎不見任何勾勒，色彩的敷設也極具光影效果，與西洋寫生觀念較多符合。,畫中描繪一只青瓷弦紋瓶，瓶中插著並蒂蓮花、蓮蓬與稻穗等象徵吉祥的植物。此畫幾乎不見任何勾勒，色彩的敷設也極具光影效果，與西洋寫生觀念較多符合。
PicTitle1,畫瓶花,画瓶花,畫瓶花,畫瓶花
PicDescription1,青花瓷瓶中插有並蒂牡丹一枝，對於牡丹花卉的描寫，與〈聚瑞圖〉同樣不強調輪廓勾勒，敷用色彩的手法也十分相近。,青花瓷瓶中插有并蒂牡丹一枝，对于牡丹花卉的描写，与〈聚瑞图〉同样不强调轮廓勾勒，敷用色彩的手法也十分相近。,青花瓷瓶中插有並蒂牡丹一枝，對於牡丹花卉的描寫，與〈聚瑞圖〉同樣不強調輪廓勾勒，敷用色彩的手法也十分相近。,青花瓷瓶中插有並蒂牡丹一枝，對於牡丹花卉的描寫，與〈聚瑞圖〉同樣不強調輪廓勾勒，敷用色彩的手法也十分相近。
PicTitle2,畫青羊,画青羊,畫青羊,畫青羊
PicDescription2,深山幽澗中，古柏曲似蒼虯，青羊二頭，一縱躍，一徐行，形神俱絕妙逼真。細審山石筆法、設色，較少西洋風格。,深山幽涧中，古柏曲似苍虬，青羊二头，一纵跃，一徐行，形神俱绝妙逼真。细审山石笔法、设色，较少西洋风格。,深山幽澗中，古柏曲似蒼虯，青羊二頭，一縱躍，一徐行，形神俱絕妙逼真。細審山石筆法、設色，較少西洋風格。,深山幽澗中，古柏曲似蒼虯，青羊二頭，一縱躍，一徐行，形神俱絕妙逼真。細審山石筆法、設色，較少西洋風格。
PicTitle3,八駿圖,八骏图,八駿圖,八駿圖
