,Q,A,A1,A2,A3,Hint0,Hint1,Why
0,郎世寧為哪一國人？,義大利,美國,中國,法國,郎世寧本名為朱塞佩·伽斯底里奧內（Giuseppe Castiglione）,19歲時為教堂畫壁畫。,郎世寧本名為朱塞佩·伽斯底里奧內（Giuseppe Castiglione），出生於義大利米蘭的聖馬爾切利諾，自幼受到良好的藝術文化氛圍的薰陶
1,郎世寧是在中國的哪一個朝代時來到中國？,清,宋,元,明,他成為宮廷畫家後，每天都在畫室作畫。此外，他繼續學習漢文和滿文。,他參與圓明園的規劃設計，負責繪製園林建設的藍圖，也畫出不少裝飾殿堂的作品,康熙五十四年（1715年）到中國時，郎世寧被康熙帝以藝術家的身份召進宮中，他成為宮廷畫家後，每天都在畫室作畫。
2,郎世寧最早來到中國的身分是？,傳教士,天文學家,軍人,藝術家,康熙帝駕崩。雍正帝繼位後，施行禁教政策,郎世寧19歲時左右加入了熱那亞耶穌會,清康熙五十四年，郎世寧二十七歲時以天主教耶穌會的修士身份來到中國傳教。
3,後世的藝評家認為郎世寧畫何種主題最傳神？,馬,魚,鳥,人物,他擁有生動現實的繪畫風格，創作了《聚瑞圖》、《嵩獻英芝圖》、《百駿圖》等作品。,「百駿圖」的手卷裡，可以看見風景和百匹馬，那些全是皇帝的馬。,郎世寧的代表作品有《八駿圖》、《聚瑞圖》、《嵩獻英芝圖》、《乾隆大閱圖》、《百駿圖》、《弘曆及后妃像》、《平定西域戰圖》、《十犬圖》等。後世藝評家認為他畫馬最為傳神
4,郎世寧的八駿圖廣為人知，請問八駿圖的駿是指？,馬,人物,鳥,花,「百駿圖」的手卷裡，可以看見風景和百匹馬，那些全是皇帝的馬。,他擁有生動現實的繪畫風格，創作了《聚瑞圖》、《嵩獻英芝圖》、《百駿圖》等作品。,「駿」是良馬的意思。
5,請問下列何者非郎世寧之作品？,清明上河圖,乾隆大閱圖,八駿圖,畫魚藻,《乾隆大閱圖》為郎世寧作品。,《畫魚藻》為郎世寧作品。,《清明上河圖》的原畫長528公分，高24.8公分，最早的版本爲北宋畫家張擇端所作，現藏北京故宮博物院。
6,郎世寧的本名為？,G. Castiglione,G. Castrol,G. Castiling,G. Castios,,,郎世寧，原名朱塞佩·伽斯底里奧內（義大利語：Giuseppe Castiglione）。
7,郎世寧繪圖時使用的透視為下列何種？,交點透視,空氣透視,散點透視,折線透視,,,郎世寧的方法，是用交點透視(linear perspective)，或稱直線透視法，讓透視視覺跟中華畫空間的方式結合。
8,中國傳統繪畫使用的透視法為下列何種？,散點透視,交點透視,空氣透視,折線透視,,,中國畫是散點透視法，即一個畫面中可以有許多焦點，如同一邊走一邊看，每一段可以有一個焦點，因此可以畫非常長的長卷或立軸，視域範圍無限擴大。
9,交點透視法又稱？,直線透視,前縮透視,仰角透視,三角透視,,,交點透視法（或稱直線透視法Linear perspective）：以景物中的天花板、牆角、地磚、壁柱連線、桌椅左右邊線、窗框上下邊線或斜角陰影邊線等的假設延長線，相交於畫面深處消失的一點，營造出景觀深入的感覺。
